game_date,home_team,away_team,home_win,diff_p_xFIP,diff_p_K-BB%,diff_bat_wRC+,diff_p_ERA,diff_p_WHIP,diff_p_FIP,diff_p_SIERA,diff_p_K%,diff_p_BB%,home_roll5_run_diff_mean,diff_roll5_run_diff_mean,home_h2h_win_pct,away_h2h_win_pct,diff_h2h_win_pct,diff_h2h_runs_scored_avg,diff_h2h_runs_allowed_avg
2023-08-24,BAL,TOR,1,0.1200000000000001,-0.0429999999999999,-12.322222222222235,1.0800000000000003,0.1300000000000001,0.13999999999999968,0.3200000000000003,-0.03999999999999998,0.0020000000000000018,5.0,4.4,0.5142857142857142,0.4857142857142857,0.028571428571428525,0.3714285714285719,-0.3714285714285719
2023-08-24,CLE,LAD,0,2.4399999999999995,-0.153,-0.5486111111111143,2.36,0.55,1.08,2.36,-0.10699999999999998,0.046,-1.2,-0.19999999999999996,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-3.0000000000000004,3.0000000000000004
2023-08-24,NYY,WSH,0,-1.3899999999999997,0.135,-0.0906432748538037,-2.45,-0.33,-2.1500000000000004,-1.7199999999999998,0.13799999999999998,0.0020000000000000018,-1.2,1.5999999999999999,0.4,0.6,-0.19999999999999996,0.6000000000000001,-0.6000000000000001
2023-08-24,PIT,CHC,0,1.1400000000000001,-0.06,-5.2640692640692635,1.93,0.04,1.8800000000000003,0.69,-0.023999999999999994,0.03599999999999999,2.4,1.5999999999999999,0.36,0.64,-0.28,-2.32,2.32
2023-08-24,HOU,BOS,0,0.8800000000000008,-0.056,-3.8888888888888857,-0.4100000000000001,0.1899999999999999,0.6500000000000004,0.8399999999999999,-0.02200000000000002,0.03499999999999999,-0.2,-0.4,0.4545454545454545,0.5454545454545454,-0.09090909090909094,1.0909090909090908,-1.0909090909090908
2023-08-25,MIN,TEX,1,-0.7499999999999996,0.052,7.650000000000006,-0.91,-0.1100000000000001,-1.4399999999999995,-0.5699999999999994,0.0490000000000001,-0.0030000000000000027,-0.8,2.2,0.375,0.625,-0.25,-1.0,1.0
2023-08-25,AZ,CIN,1,-1.8499999999999996,0.138,-0.0906432748538037,-0.7800000000000002,-0.03,0.54,-1.5,0.115,-0.022000000000000006,0.6,1.2,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-2.0,2.0
2023-08-25,SF,ATL,0,0.03000000000000025,-0.0999999999999999,-0.0906432748538037,-0.6099999999999999,-0.02,0.31000000000000005,0.30000000000000027,-0.13999999999999999,-0.04,-1.0,-1.4,0.4,0.6,-0.19999999999999996,-0.5000000000000004,0.5000000000000004
2023-08-25,SEA,KC,1,0.02999999999999936,0.0529999999999999,-0.0906432748538037,-1.1999999999999993,-0.31,-0.31000000000000005,-0.29000000000000004,0.03300000000000011,-0.022000000000000006,4.4,4.800000000000001,0.6428571428571429,0.3571428571428571,0.2857142857142858,0.4285714285714288,-0.4285714285714288
2023-08-25,TB,NYY,0,-0.48,0.018,-0.0906432748538037,0.8700000000000001,0.04,-0.15000000000000036,-0.33000000000000007,-0.0050000000000000044,-0.023999999999999896,2.6,3.0,0.5,0.5,0.0,0.4375,-0.4375
2023-08-25,NYM,LAA,0,-0.8400000000000003,0.0969999999999999,9.59615384615384,-1.1300000000000003,-0.29,-0.5499999999999998,-1.0,0.09499999999999997,-0.0020000000000000018,1.0,2.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.666666666666667,-0.666666666666667
2023-08-25,MIL,SD,1,-0.29000000000000004,0.062,-0.0906432748538037,-2.28,-0.4800000000000001,-0.43000000000000016,-0.5899999999999999,0.045999999999999985,-0.016,3.0,1.6,0.5333333333333333,0.4666666666666667,0.06666666666666665,-0.46666666666666634,0.46666666666666634
2023-08-25,CWS,ATH,0,-0.75,0.0829999999999999,-0.0906432748538037,-2.09,-0.2099999999999999,-3.31,-0.7400000000000002,0.07100000000000012,-0.012000000000000108,-2.4,-0.5999999999999999,0.5714285714285714,0.4285714285714285,0.1428571428571429,1.0,-1.0
2023-08-25,BAL,COL,1,-0.6399999999999997,0.063,11.97894736842106,-0.6100000000000003,-0.1899999999999999,-0.8700000000000001,-0.9199999999999999,0.06299999999999989,0.0010000000000000009,4.4,6.4,,,,,
2023-08-25,TOR,CLE,0,-0.009999999999999787,-0.0099999999999998,5.833333333333357,0.6200000000000001,0.0,0.7600000000000002,0.05999999999999961,-0.015999999999999986,-0.006000000000000005,0.4,2.4,0.4,0.6,-0.19999999999999996,-0.7999999999999998,0.7999999999999998
2023-08-25,PHI,STL,1,-1.67,0.0879999999999999,30.815789473684205,-1.3400000000000003,-0.27,-0.27999999999999936,-1.4799999999999995,0.08299999999999999,-0.0049999999999999975,2.6,6.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.7777777777777781,-0.7777777777777781
2023-08-25,PIT,CHC,1,-0.7199999999999998,0.074,-5.2640692640692635,0.4699999999999997,0.05,-0.010000000000000231,-0.7999999999999998,0.094,0.020000000000000004,1.6,1.0,0.3461538461538461,0.6538461538461539,-0.30769230769230776,-2.269230769230769,2.269230769230769
2023-08-25,MIA,WSH,0,-1.5,0.093,-0.0906432748538037,-2.79,-0.48,-1.3000000000000003,-1.2699999999999996,0.03699999999999998,-0.05600000000000001,0.2,3.0,0.8181818181818182,0.1818181818181818,0.6363636363636365,2.121212121212121,-2.121212121212121
2023-08-25,BOS,LAD,0,-0.17999999999999972,0.035,-1.4375,-1.6900000000000004,-0.2799999999999998,-1.7000000000000002,-0.3999999999999999,0.020000000000000018,-0.015,2.0,2.0,,,,,
2023-08-25,DET,HOU,1,1.94,-0.0849999999999999,-1.0555555555555571,0.1299999999999999,-0.0899999999999998,1.3099999999999996,1.4299999999999997,-0.09,-0.0049999999999999906,0.6,2.6,0.2,0.8,-0.6000000000000001,-2.0999999999999996,2.0999999999999996
2023-08-26,NYM,LAA,0,1.0699999999999998,-0.014,9.59615384615384,0.9900000000000002,0.1799999999999999,-0.5,0.17999999999999972,-0.0030000000000000027,0.010000000000000009,-1.6,-0.40000000000000013,0.5,0.5,0.0,0.0,0.0
2023-08-26,SEA,KC,1,-1.58,0.0989999999999999,-0.0906432748538037,-2.5500000000000003,-0.1599999999999999,-1.77,-1.3700000000000006,0.08499999999999999,-0.012999999999999998,3.4,3.8,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5333333333333332,-0.5333333333333332
2023-08-26,AZ,CIN,0,0.3700000000000001,-0.0529999999999999,-0.0906432748538037,1.62,0.2999999999999998,-0.7699999999999996,0.6699999999999999,-0.014999999999999986,0.03799999999999999,1.8,2.6,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-1.7333333333333334,1.7333333333333334
2023-08-26,BAL,COL,1,-1.5900000000000003,0.108,11.97894736842106,-4.03,-0.6299999999999999,-2.9499999999999997,-1.3500000000000005,0.091,-0.015999999999999903,3.6,7.0,1.0,0.0,1.0,1.0,-1.0
2023-08-26,MIL,SD,1,-0.45999999999999996,0.0969999999999998,-0.0906432748538037,0.6399999999999997,-0.2299999999999999,0.18000000000000016,-0.5999999999999996,0.064,-0.035,3.6,3.8000000000000003,0.5625,0.4375,0.125,-0.1875,0.1875
2023-08-26,MIN,TEX,0,-0.2599999999999998,0.035,7.650000000000006,0.7399999999999998,0.0499999999999998,-0.1900000000000004,-0.33000000000000007,0.012999999999999956,-0.020999999999999998,1.8,5.8,0.4444444444444444,0.5555555555555556,-0.11111111111111116,0.22222222222222232,-0.22222222222222232
2023-08-26,CWS,ATH,1,-0.21999999999999975,-0.074,-0.0906432748538037,0.4299999999999997,0.1899999999999999,-0.15000000000000036,0.5499999999999998,0.002000000000000113,0.076,-5.0,-7.0,0.5333333333333333,0.4666666666666667,0.06666666666666665,0.40000000000000036,-0.40000000000000036
2023-08-26,SF,ATL,0,0.9099999999999997,-0.0269999999999999,-0.0906432748538037,1.8900000000000008,0.1100000000000001,0.7599999999999998,0.4500000000000002,0.0,0.026000000000000106,-1.6,-2.6,0.3636363636363636,0.6363636363636364,-0.27272727272727276,-0.8181818181818183,0.8181818181818183
2023-08-26,DET,HOU,0,0.5399999999999996,-0.032,-1.0555555555555571,-1.79,-0.2100000000000002,-0.71,0.5199999999999996,-0.038000000000000006,-0.006000000000000005,1.0,3.4,0.2727272727272727,0.7272727272727273,-0.4545454545454546,-1.6363636363636367,1.6363636363636367
2023-08-26,MIA,WSH,0,-0.8999999999999995,0.1209999999999999,-0.0906432748538037,-1.4600000000000004,-0.29,-1.1899999999999995,-1.15,0.10199999999999998,-0.01899999999999999,-2.0,-1.6,0.7941176470588235,0.2058823529411764,0.5882352941176471,1.9705882352941173,-1.9705882352941173
